index, uuid, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
0, GPU-2980e015-2725-bf9e-f4f9-b0e905dee75b, 14173 MiB, 24564 MiB, 16 %
1, GPU-75f32c85-75f6-07fa-f335-6e1cc84aacf9, 2406 MiB, 24564 MiB, 1 %
2, GPU-835451b2-a7e7-335e-2968-fd188801cf61, 8688 MiB, 24564 MiB, 51 %
3, GPU-b46f451f-cbbf-cb05-ec58-d124e7dbb743, 6200 MiB, 24564 MiB, 99 %
4, GPU-34587165-f7a3-9c6e-e4f0-a431b17af503, 23619 MiB, 24564 MiB, 0 %
5, GPU-e888b579-a41b-5892-0c5d-f3145ddd6327, 4076 MiB, 24564 MiB, 100 %
6, GPU-268df8cd-d4ff-6179-5702-d6173f63cac2, 3650 MiB, 24564 MiB, 47 %
7, GPU-ed81f3c7-cf0c-01fd-e758-6e512ee3a0b9, 4458 MiB, 24564 MiB, 12 %
